"full_name","a","e","i","om","w","q","epoch","ma","t_jup"
"204851 (2007 RW130)",3.964,0.2729,2.89,172.52,222.75,2.882,2460000.5,337.41,2.99
"204856 (2007 RS155)",3.95,0.2157,1.70,295.43,123.16,3.098,2460000.5,301.45,3.02
"204892 (2007 TQ331)",3.987,0.2379,3.89,263.19,97.54,3.039,2460000.5,3.12,3
"205104 (1999 TZ227)",3.986,0.2418,1.12,213.58,162.17,3.022,2460000.5,356.99,3
"205134 (1999 VQ181)",3.965,0.2689,2.40,198.56,178.78,2.898,2460000.5,6.35,2.99
"207379 (2005 NJ38)",3.941,0.1640,6.76,144.99,182.31,3.294,2460000.5,78.80,3.02
"207380 (2005 OH7)",3.985,0.2098,3.93,73.37,254.19,3.149,2460000.5,78.89,3.01
"207381 (2005 QW7)",3.981,0.1285,1.74,79.30,248.06,3.470,2460000.5,87.13,3.04
"207382 (2005 QU28)",3.922,0.1551,8.98,166.96,146.88,3.314,2460000.5,104.89,3.02
"207384 (2005 QO173)",3.948,0.2347,8.15,6.28,290.58,3.022,2460000.5,128.89,2.99
"207387 (2005 TT127)",3.941,0.1383,2.19,349.13,188.24,3.396,2460000.5,290.41,3.04
"207591 (2006 QH56)",3.993,0.2613,2.52,197.13,169.54,2.949,2460000.5,21.38,2.99
"207605 (2006 QY113)",3.999,0.2800,3.68,136.96,235.77,2.879,2460000.5,14.14,2.98
"207630 (2006 SV167)",3.935,0.1538,1.95,283.71,58.08,3.330,2460000.5,54.28,3.04
"207638 (2006 TJ32)",3.895,0.0611,3.56,38.67,244.05,3.657,2460000.5,144.63,3.06
"207641 (2006 UK46)",3.942,0.0453,3.02,192.75,97.01,3.763,2460000.5,142.43,3.06
"207644 (2006 UW322)",3.947,0.0827,2.71,321.99,205.76,3.621,2460000.5,262.63,3.05
"207773 (2007 TV58)",3.989,0.2958,5.55,324.80,97.28,2.809,2460000.5,299.68,2.97
"207801 (2007 TZ212)",3.962,0.1502,3.64,294.61,94.87,3.367,2460000.5,356.40,3.04
"207827 (2007 TD361)",3.961,0.3253,8.41,116.37,248.29,2.672,2460000.5,7.76,2.95
"208015 (1998 SM160)",3.962,0.3343,11.45,168.27,192.24,2.638,2460000.5,45.46,2.92
"208290 (2001 DH1)",3.953,0.1397,3.98,324.09,307.65,3.401,2460000.5,170.27,3.04
"208695 (2002 GZ181)",3.959,0.0981,15.58,155.74,96.23,3.571,2460000.5,184.16,2.99
"209031 (2003 HS19)",3.966,0.1397,1.37,102.55,248.47,3.412,2460000.5,62.50,3.04
"209507 (2004 PP10)",3.955,0.1331,8.37,235.21,68.53,3.428,2460000.5,150.99,3.02
"209512 (2004 RO2)",3.978,0.0635,7.95,189.91,81.38,3.725,2460000.5,185.11,3.04
"209919 (2005 QQ44)",3.978,0.1997,3.80,130.71,183.90,3.184,2460000.5,92.03,3.02
"209920 (2005 SN2)",3.938,0.2240,4.43,112.93,198.26,3.056,2460000.5,118.71,3.01
"210049 (2006 PN12)",3.988,0.2171,2.41,178.30,205.94,3.122,2460000.5,359.53,3.01
"210087 (2006 QD62)",3.955,0.1895,4.03,127.35,237.51,3.205,2460000.5,28.15,3.02
"210184 (2006 UD273)",3.936,0.1149,7.75,264.54,313.81,3.484,2460000.5,229.97,3.03
"210187 (2006 VZ64)",3.951,0.0873,6.93,77.88,212.98,3.606,2460000.5,150.30,3.04
"210340 (2007 TZ382)",3.977,0.2989,1.35,208.42,151.64,2.788,2460000.5,0.88,2.98
"212334 (2005 SL204)",3.853,0.0561,1.94,201.68,217.21,3.637,2460000.5,56.37,3.07
"212337 (2005 SD273)",3.984,0.1558,0.86,39.12,253.57,3.363,2460000.5,156.21,3.04
"212344 (2005 UJ13)",3.976,0.1452,4.05,23.41,87.96,3.399,2460000.5,351.17,3.03
